jose,raine,fiona,katelyn,avi,harry
MSFT,AAPL,NVDA,AMZN,META,GOOGL
GOOG,LLY,AVGO,BRKB,JPM,TSLA
XOM,UNH,V,PG,COST,MA
JNJ,HD,MRK,ABBV,WMT,NFLX
CVX,BAC,AMD,ADBE,KO,CRM
ORCL,PEP,QCOM,TMO,LIN,WFC
AMAT,ACN,MCD,DIS,ABT,TXN
INTU,CSCO,AMGN,DHR,GE,CAT
NOW,IBM,PFE,ISRG,PM,VZ
CMCSA,MU,NEE,UBER,SPGI,LRCX
HON,UNP,T,BKNG,COP,GS
RTX,INTC,ELV,LOW,ETN,TJX
PGR,VRTX,MS,SYK,AXP,C
ADI,BSX,LMT,BA,BLK,KLAC
PANW,REGN,SCHW,MDT,PLD,MMC
CB,UPS,DE,ADP,CI,TMUS
NKE,SNPS,AMT,BX,CRWD,SBUX
ANET,MDLZ,FI,CMG,GILD,WM
SO,BMY,CDNS,APH,CL,ICE
MO,DUK,MCK,TT,CVS,EOG
EQIX,GD,ZTS,CME,KKR,FCX
TGT,SHW,TDG,BDX,SLB,ITW
FDX,CSX,MCO,PH,MSI,HCA
CEG,EMR,WELL,ORLY,USB,PNC
MPC,ECL,PYPL,AON,MRVL,CTAS
ABNB,ROP,PSX,NOC,APD,AJG
MMM,EW,MAR,HLT,CARR,PCAR
ADSK,GM,TFC,WMB,PLTR,VLO
AZO,AFL,COF,AIG,F,MCHP
DLR,ROST,NSC,NEM,SRE,OKE
WDAY,GEV,APO,SPG,CPRT,KMB
TRV,AEP,TEL,O,PCG,PSA
WCN,DXCM,HUM,BK,JCI,TTD
HES,URI,LHX,CCI,MET,AMP
STZ,COIN,ALL,PRU,FIS,DHI
D,MRNA,SMCI,SNOW,IDXX,RSG
GWW,OXY,FERG,OTIS,AME,PAYX
VRSK,MPWR,LNG,A,CMI,NUE
COR,KMI,DOW,YUM,PWR,EA
CTVA,MNST,FTNT,PEG,IQV,IR
MSCI,KDP,DDOG,ACGL,SQ,FAST
DELL,GIS,FANG,SYY,CNC,DASH
BKR,RCL,FICO,KVUE,EXC,ODFL
LULU,GEHC,CTSH,BIIB,MLM,LEN
IT,XYL,EXR,VMC,DFS,HPQ
KR,HWM,ROK,ALNY,VRT,ED
DAL,CSGP,DD,CDW,GLW,DVN
EFX,VST,ADM,MTD,XEL,PPG
HIG,ON,AVB,TSCO,DG,HUBS
TRGP,RMD,ANSS,CHTR,TEAM,WAB
HPE,EIX,VICI,CBRE,EBAY,HSY
WTW,HAL,NTAP,VEEV,PINS,IRM
FTV,NDAQ,TROW,KHC,TTWO,CHD
MTB,AWK,LYB,EQR,GRMN,FITB
WEC,DOV,WDC,DECK,IFF,ARES
WST,KEYS,CAH,NET,EL,BR
PHM,TER,RJF,FSLR,ETR,NVR
ZBH,VLTO,DLTR,STE,MSTR,STX
TYL,STT,AXON,SBAC,FE,INVH
VTR,LPLA,WY,PTC,DTE,BRKA
ENTG,BRO,ARE,PPL,BAH,PSTG
ES,CNP,LDOS,GDDY,HUBB,MKL
GPC,CSL,STLD,APTV,GPN,HBAN
CCL,AEE,SYF,CTRA,RBLX,BALL
CINF,TDY,ULTA,PFG,RF,WSM
FCNCA,DRI,DPZ,MKC,CBOE,HEI/A
CPAY,CMS,ATO,EXPD,AVY,MOH
OMC,J,ESS,COO,MDB,ALGN
ZS,HOLX,SNAP,WAT,EME,BAX
LII,LH,SWKS,LUV,CLX,BLDR
MAA,DKNG,ILMN,EG,LVS,WBD
NTRS,BBY,RS,PKG,TXT,EQT
TSN,NRG,MRO,WSO,EXPE,APP
UAL,ZBRA,K,BMRN,FDS,CFG
BURL,IEX,MANH,DGX,LYV,BG
OC,OKTA,VRSN,SUI,WRB,IP
CE,MAS,HOOD,TRU,AVTR,SRPT
UTHR,ROL,PODD,RBA,CASY,ZM
L,FWONK,NBIX,NTNX,RPM,SNA
AKAM,DOC,TRMB,CVNA,CAG,CF
TPL,UDR,RGA,GGG,KEY,EQH
GEN,JBHT,SSNC,KIM,LNT,BF/B
USFD,SW,THC,NI,RVTY,ENPH
NVT,FNF,HST,PNR,NTRA,VTRS
DT,SAIA,JBL,OVV,AES,IBKR
WMS,WING,SWK,NWSA,TW,BLD
LW,WPC,JKHY,TOL,ACM,NDSN
DKS,JNPR,RNR,GLPI,XPO,BJ
CPT,EVRG,KMX,EMN,REG,GWRE
AMH,TXRH,POOL,TECH,ALB,ELF
LKQ,SJM,DOCU,QRVO,CLH,COHR
ELS,APA,TTEK,IPG,ALLY,FIX
ONTO,INSM,LECO,CRL,RIVN,WWD
FTI,ITT,TOST,UHS,MGM,LAMR
EPAM,CW,ALLE,PFGC,MEDP,CHK
CUBE,RPRX,INCY,EWBC,FFIV,FND
TFX,CHRD,AOS,SCI,TPR,FTAI
TTC,ESTC,CHRW,JLL,HII,AR
CTLT,NLY,CACI,OLED,CG,LNW
CNM,MOS,CELH,APG,CHDN,ATR
HRL,ERIE,WTRG,SKX,ANF,CCK
TAP,REXR,WFRD,RRX,ARMK,OWL
FN,TWLO,CPB,MKSI,MUSA,BXP
AFG,PNW,DINO,BBWI,BWXT,KBR
AIZ,EHC,FHN,DCI,WYNN,KNSL
CROX,OHI,FOXA,FRT,SFM,UNM
WBA,SF,RGLD,CZR,HSIC,MORN
EGP,CHE,PRI,NCLH,WCC,FBIN
MTCH,GPK,TREX,CGNX,GNRC,LSCC
NYT,EXAS,BSY,RBC,TPX,GNTX
GME,NNN,KNX,RRC,FCN,HAS
GMED,GL,X,NOV,SEIC,HRB
MKTX,SNX,PR,HQY,ROKU,AXTA
ORI,WBS,AYI,AIT,BRBR,INGR
SWN,TKO,FLR,DAY,WEX,JEF
BWA,DUOL,AAL,PCVX,CLF,EXP
SOLV,EVR,COLD,Z,SSD,HLI
FMC,VOYA,OGE,PAYC,AA,CRBG
ELAN,OSK,ENSG,MSA,CR,BEN
SPSC,CIEN,KEX,ITCI,ATI,BRX
CIVI,LAD,DTM,MTZ,AGNC,ETSY
CRUS,WSC,PCOR,ACI,MTN,AFRM
BPMC,CMA,BRKR,DVA,MTDR,RGEN
HALO,WAL,IOT,LSTR,ALSN,STAG
MIDD,PEN,H,UFPI,PLNT,MTSI
CBSH,NSIT,FYBR,CMC,LEA,IONS
BFAM,MASI,LBRDK,BPOP,RL,SOFI
ARW,CAVA,BERY,CHX,JAZZ,ZION
RHI,RMBS,NXT,SPXC,FR,LFUS
EXEL,ADC,FLS,IVZ,AGCO,FRPT
CYTK,HR,GTLS,CFLT,WTFC,MLI
AZEK,RLI,SAIC,MHK,GXO,KD
OLLI,WH,PVH,ACHC,ESI,VNT
MUR,NOVT,CFR,PNFP,UHAL/B,OMF
RVMD,DAR,SSB,TRNO,S,G
GPS,STWD,SMAR,MTG,FIVE,BECN
SIGI,GKOS,PARA,AAON,OLN,ALTR
CWST,RHP,ESNT,ST,TMHC,LNTH
WLK,MAT,SNV,MTH,PB,VVV
JXN,VKTX,GTLB,WHR,PCTY,RYAN
VMI,SITE,COKE,ONB,BMI,AXS
